bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,bowler_link,match_id
Jayant Yadav,4,0,31,1,7.75,9,2,1,1,0,https://www.espncricinfo.com/cricketers/jayant-yadav-447587,scorecard
Krunal Pandya,2.1,0,18,1,8.30,5,0,2,0,0,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Jasprit Bumrah,4,0,29,1,7.25,10,3,1,0,0,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,scorecard
Nathan Coulter-Nile,4,0,19,1,4.75,12,2,0,0,0,https://www.espncricinfo.com/cricketers/nathan-coulter-nile-261354,scorecard
Kieron Pollard,1,0,9,0,9.00,2,1,0,2,0,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,scorecard
Fabian Allen,4,0,38,0,9.50,5,3,2,0,0,https://www.espncricinfo.com/cricketers/fabian-allen-670013,scorecard
Mohammed Shami,4,0,23,1,5.75,10,2,0,1,0,https://www.espncricinfo.com/cricketers/mohammed-shami-481896,scorecard
Arshdeep Singh,4,0,32,3,8.00,10,2,1,2,0,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,scorecard
Nathan Ellis,4,0,46,0,11.50,4,6,1,1,0,https://www.espncricinfo.com/cricketers/nathan-ellis-826915,scorecard
Ravi Bishnoi,4,0,22,2,5.50,9,2,0,0,0,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441,scorecard
Tim Southee,4,0,40,0,10.00,5,3,2,1,0,https://www.espncricinfo.com/cricketers/tim-southee-232364,scorecard
Shivam Mavi,4,0,31,1,7.75,12,4,1,0,0,https://www.espncricinfo.com/cricketers/shivam-mavi-1079848,scorecard
Varun Chakravarthy,4,0,24,2,6.00,8,1,1,0,0,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,scorecard
Sunil Narine,4,0,34,1,8.50,5,0,2,2,0,https://www.espncricinfo.com/cricketers/sunil-narine-230558,scorecard
Venkatesh Iyer,2.3,0,30,1,12.00,2,0,3,0,1,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403,scorecard
Nitish Rana,1,0,7,0,7.00,1,0,0,0,0,https://www.espncricinfo.com/cricketers/nitish-rana-604527,scorecard
Deepak Chahar,4,0,32,0,8.00,9,2,2,0,0,https://www.espncricinfo.com/cricketers/deepak-chahar-447261,scorecard
Josh Hazlewood,4,0,24,3,6.00,13,1,2,0,0,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284,scorecard
Shardul Thakur,4,0,37,1,9.25,7,4,0,1,1,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,scorecard
Dwayne Bravo,4,0,17,2,4.25,10,0,0,3,0,https://www.espncricinfo.com/cricketers/dwayne-bravo-51439,scorecard
Ravindra Jadeja,3,0,14,1,4.66,5,0,0,0,0,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675,scorecard
Moeen Ali,1,0,5,0,5.00,2,0,0,0,0,https://www.espncricinfo.com/cricketers/moeen-ali-8917,scorecard
Sandeep Sharma,3,0,18,0,6.00,7,1,0,0,0,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362,scorecard
Bhuvneshwar Kumar,4,0,34,0,8.50,12,1,3,2,0,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016,scorecard
Jason Holder,4,0,27,3,6.75,9,3,0,0,0,https://www.espncricinfo.com/cricketers/jason-holder-391485,scorecard
Rashid Khan,4,0,27,1,6.75,12,3,1,1,0,https://www.espncricinfo.com/cricketers/rashid-khan-793463,scorecard
Siddarth Kaul,2.4,0,24,0,9.00,8,2,2,0,0,https://www.espncricinfo.com/cricketers/siddarth-kaul-326017,scorecard
Abhishek Sharma,2,0,9,0,4.50,6,1,0,0,0,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183,scorecard
George Garton,3,0,30,1,10.00,9,1,3,1,0,https://www.espncricinfo.com/cricketers/george-garton-643433,scorecard
Mohammed Siraj,3,0,18,0,6.00,7,2,0,1,0,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,scorecard
Glenn Maxwell,2,0,17,0,8.50,4,1,1,0,0,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026,scorecard
Harshal Patel,4,0,34,3,8.50,10,4,1,1,0,https://www.espncricinfo.com/cricketers/harshal-patel-390481,scorecard
Dan Christian,2,0,21,1,10.50,3,2,1,0,0,https://www.espncricinfo.com/cricketers/dan-christian-4864,scorecard
Yuzvendra Chahal,4,0,18,2,4.50,11,0,1,0,0,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,scorecard
Shahbaz Ahmed,2,0,10,2,5.00,2,0,0,0,0,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711,scorecard
Chris Morris,4,0,50,0,12.50,5,6,2,0,0,https://www.espncricinfo.com/cricketers/chris-morris-439952,scorecard
Kartik Tyagi,2,0,23,0,11.50,3,3,0,2,0,https://www.espncricinfo.com/cricketers/kartik-tyagi-1122918,scorecard
Chetan Sakariya,3,0,18,0,6.00,8,2,0,1,0,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754,scorecard
Mustafizur Rahman,3,0,20,2,6.66,8,2,0,0,0,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902,scorecard
Rahul Tewatia,3,0,23,0,7.66,4,3,0,0,0,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838,scorecard
Mahipal Lomror,2,0,13,0,6.50,3,1,0,1,0,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265,scorecard
Riyan Parag,0.1,0,4,0,24.00,0,1,0,0,0,https://www.espncricinfo.com/cricketers/riyan-parag-1079434,scorecard
Krunal Pandya,4,0,24,1,6.00,6,1,0,0,1,https://www.espncricinfo.com/cricketers/krunal-pandya-471342,scorecard
Trent Boult,3,0,30,0,10.00,7,4,1,1,0,https://www.espncricinfo.com/cricketers/trent-boult-277912,scorecard
