Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
RR Pant,https://www.espncricinfo.com/cricketers/rishabh-pant-931581,2021-2021,5,3,1,78,39,39.00,125.80,-,-,-
MDKJ Perera,https://www.espncricinfo.com/cricketers/kusal-perera-300631,2021-2021,8,8,1,123,35,17.57,121.78,-,-,1
GD Phillips,https://www.espncricinfo.com/cricketers/glenn-phillips-823509,2021-2021,7,5,1,105,39*,26.25,111.70,-,-,-
N Pokana,https://www.espncricinfo.com/cricketers/nosaina-pokana-646181,2021-2021,2,2,1,6,5*,6.00,54.54,-,-,-
KA Pollard,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,2021-2021,5,5,1,90,44,22.50,107.14,-,-,1
N Pooran,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302,2021-2021,5,5,-,103,46,20.60,135.52,-,-,-
KH Prajapati,https://www.espncricinfo.com/cricketers/kashyap-prajapati-1276719,2021-2021,3,2,-,24,21,12.00,92.30,-,-,-
D Pretorius,https://www.espncricinfo.com/cricketers/dwaine-pretorius-327830,2021-2021,5,2,-,1,1,0.50,33.33,-,-,1
K Rabada,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,2021-2021,5,2,2,32,19*,0.00,106.66,-,-,-
Rahmanullah Gurbaz,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087,2021-2021,5,5,-,85,46,17.00,119.71,-,-,-
KL Rahul,https://www.espncricinfo.com/cricketers/kl-rahul-422108,2021-2021,5,5,1,194,69,48.50,152.75,-,3,-
PBB Rajapaksa,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619,2021-2021,8,6,2,155,53,38.75,143.51,-,1,1
R Rampaul,https://www.espncricinfo.com/cricketers/ravi-rampaul-52912,2021-2021,4,1,-,3,3,3.00,37.50,-,-,-
AU Rashid,https://www.espncricinfo.com/cricketers/adil-rashid-244497,2021-2021,6,1,1,2,2*,0.00,100.00,-,-,-
Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463,2021-2021,5,2,-,3,3,1.50,37.50,-,-,1
D Ravu,https://www.espncricinfo.com/cricketers/damien-ravu-1122557,2021-2021,2,2,-,6,5,3.00,66.66,-,-,-
NA Rock,https://www.espncricinfo.com/cricketers/neil-rock-1112535,2021-2021,3,2,-,6,5,3.00,75.00,-,-,-
JJ Roy,https://www.espncricinfo.com/cricketers/jason-roy-298438,2021-2021,5,5,1,123,61,30.75,138.20,-,1,-
AD Russell,https://www.espncricinfo.com/cricketers/andre-russell-276298,2021-2021,5,5,1,25,18*,6.25,147.05,-,-,2
Sandeep Goud,https://www.espncricinfo.com/cricketers/sandeep-goud-1174024,2021-2021,3,2,-,9,5,4.50,56.25,-,-,-
MJ Santner,https://www.espncricinfo.com/cricketers/mitchell-santner-502714,2021-2021,7,3,2,9,6,9.00,100.00,-,-,-
BM Scholtz,https://www.espncricinfo.com/cricketers/bernard-scholtz-330223,2021-2021,7,2,1,6,6*,6.00,46.15,-,-,1
PM Seelaar,https://www.espncricinfo.com/cricketers/pieter-seelaar-208657,2021-2021,3,2,-,23,21,11.50,67.64,-,-,-
TL Seifert,https://www.espncricinfo.com/cricketers/tim-seifert-625964,2021-2021,2,2,1,16,8*,16.00,114.28,-,-,-
Shadab Khan,https://www.espncricinfo.com/cricketers/shadab-khan-922943,2021-2021,6,1,1,-,0*,0.00,0.00,-,-,-
Shaheen Shah Afridi,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,2021-2021,6,-,-,-,-,0.00,0.00,-,-,-
Shamim Hossain,https://www.espncricinfo.com/cricketers/shamim-hossain-1161044,2021-2021,2,2,-,30,19,15.00,78.94,-,-,-
T Shamsi,https://www.espncricinfo.com/cricketers/tabraiz-shamsi-379145,2021-2021,5,1,1,-,0*,0.00,0.00,-,-,-
MD Shanaka,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,2021-2021,8,6,3,96,26,32.00,117.07,-,-,-
Shakib Al Hasan,https://www.espncricinfo.com/cricketers/shakib-al-hasan-56143,2021-2021,6,6,-,131,46,21.83,109.16,-,-,-
Sharafuddin Ashraf,https://www.espncricinfo.com/cricketers/sharafuddin-ashraf-633362,2021-2021,1,1,1,2,2*,0.00,66.66,-,-,-
SM Sharif,https://www.espncricinfo.com/cricketers/safyaan-sharif-414970,2021-2021,7,3,2,11,8*,11.00,157.14,-,-,1
RG Sharma,https://www.espncricinfo.com/cricketers/rohit-sharma-34102,2021-2021,5,5,-,174,74,34.80,151.30,-,2,1
B Shikongo,https://www.espncricinfo.com/cricketers/ben-shikongo-1069820,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
Shoaib Malik,https://www.espncricinfo.com/cricketers/shoaib-malik-42657,2021-2021,6,4,2,100,54*,50.00,181.81,-,1,-
Shoriful Islam,https://www.espncricinfo.com/cricketers/shoriful-islam-990039,2021-2021,4,2,1,-,0*,0.00,0.00,-,-,1
L Siaka,https://www.espncricinfo.com/cricketers/lega-siaka-440990,2021-2021,3,3,-,14,9,4.66,53.84,-,-,1
