Full Name,Born,Age,Batting Style,Bowling Style,Role,Country
Kabua Vagi Morea,"September 30, 1993",31y 38d,Right hand Bat,Left arm Medium,Bowler,Papua New Guinea
Eoin Joseph Gerard Morgan,"September 10, 1986, Dublin",38y 58d,Left hand Bat,Right arm Medium,Middle order Batter,England
Mujeeb Ur Rahman,"March 28, 2001, Khost",23y 224d,Right hand Bat,Right arm Offbreak,Bowler,Afghanistan
Henry George Munsey,"February 21, 1993, Oxford",31y 260d,Left hand Bat,Right arm Medium fast,Opening Batter,Scotland
Mohammad Mushfiqur Rahim,"May 09, 1987, Bogra",37y 182d,Right hand Bat,,Wicketkeeper Batter,Bangladesh
Mustafizur Rahman,"September 06, 1995, Satkhira",29y 62d,Left hand Bat,Left arm Fast medium,Bowler,Bangladesh
Stephanus Johannes Myburgh,"February 28, 1984, Pretoria, Transvaal",40y 253d,Left hand Bat,Right arm Offbreak,Opening Batter,Netherlands
Najibullah Zadran,"February 18, 1993, Logar",31y 263d,Left hand Bat,Right arm Offbreak,Middle order Batter,Afghanistan
Muhammad Naseem Khushi,"August 11, 1982, Sialkot",42y 88d,Right hand Bat,,Wicketkeeper,Oman
Nasum Ahmed,"December 05, 1994",29y 338d,Left hand Bat,Slow Left arm Orthodox,Bowler,Bangladesh
Naveen-ul-Haq Murid,"September 23, 1999, Kabul",25y 45d,Right hand Bat,Right arm Medium fast,Bowler,Afghanistan
James Douglas Sheahan Neesham,"September 17, 1990, Auckland",34y 51d,Left hand Bat,Right arm Medium fast,Batting Allrounder,New Zealand
Pathum Nissanka Silva,"May 18, 1998, Galle",26y 173d,Right hand Bat,,Top order Batter,Sri Lanka
Anrich Arno Nortje,"November 16, 1993",30y 357d,Right hand Bat,Right arm Fast,Bowler,South Africa
Quazi Nurul Hasan,"November 21, 1993, Khulna",30y 352d,Right hand Bat,,Wicketkeeper Batter,Bangladesh
Kevin Joseph O'Brien,"March 04, 1984, Dublin, Ireland",40y 248d,Right hand Bat,Right arm Medium fast,Batting Allrounder,Ireland
Maxwell Patrick O'Dowd,"March 04, 1994, Auckland",30y 248d,Right hand Bat,Right arm Offbreak,Opening Batter,Netherlands
Hardik Himanshu Pandya,"October 11, 1993, Choryasi, Gujarat",31y 27d,Right hand Bat,Right arm Medium fast,Allrounder,India
Rishabh Rajendra Pant,"October 04, 1997, Haridwar, Uttarakhand",27y 34d,Left hand Bat,,Wicketkeeper Batter,India
Mathurage Don Kusal Janith Perera,"August 17, 1990, Kalubowila",34y 82d,Left hand Bat,,Wicketkeeper Batter,Sri Lanka
