bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Sam Curran,3,0,31,2,10.33,7,1,2,0,0,scorecard
Adil Rashid,4,0,24,0,6.00,6,1,0,0,0,scorecard
Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0,scorecard
Josh Little,3,0,16,2,5.33,11,2,0,2,0,scorecard
Mark Adair,2,0,10,0,5.00,5,0,0,0,0,scorecard
Barry McCarthy,3,0,20,1,6.66,7,1,0,3,0,scorecard
Fionn Hand,2,0,17,1,8.50,6,1,0,4,0,scorecard
Gareth Delany,3.3,0,33,0,9.42,5,3,1,1,0,scorecard
George Dockrell,1,0,5,1,5.00,2,0,0,0,0,scorecard
Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,scorecard
Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,scorecard
Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,scorecard
Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,scorecard
Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0,scorecard
Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0,scorecard
Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0,scorecard
Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,scorecard
Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,scorecard
Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,scorecard
Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,scorecard
Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,scorecard
Wanindu Hasaranga,3,0,53,0,17.66,0,3,5,0,0,scorecard
Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,scorecard
Kagiso Rabada,2,0,20,0,10.00,4,2,1,0,0,scorecard
Wayne Parnell,2,0,6,1,3.00,9,1,0,0,0,scorecard
Lungi Ngidi,2,0,20,2,10.00,6,2,1,2,0,scorecard
Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0,scorecard
Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0,scorecard
Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,scorecard
Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,scorecard
Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,scorecard
Fred Klaassen,4,0,33,1,8.25,10,5,0,3,0,scorecard
Colin Ackermann,1,0,4,0,4.00,2,0,0,0,0,scorecard
Paul van Meekeren,4,0,21,2,5.25,10,1,0,0,0,scorecard
Bas de Leede,3,0,29,2,9.66,9,3,1,3,0,scorecard
Tim Pringle,2,0,10,1,5.00,4,0,0,0,0,scorecard
Shariz Ahmad,3,0,27,1,9.00,5,1,2,0,0,scorecard
Logan van Beek,3,0,12,1,4.00,7,0,0,1,0,scorecard
Taskin Ahmed,4,0,25,4,6.25,16,5,0,0,0,scorecard
Hasan Mahmud,4,1,15,2,3.75,16,2,0,0,0,scorecard
Shakib Al Hasan,4,0,32,1,8.00,6,0,2,1,0,scorecard
Mustafizur Rahman,4,0,20,0,5.00,14,2,0,2,0,scorecard
Soumya Sarkar,3,0,29,1,9.66,5,2,1,1,0,scorecard
Mosaddek Hossain,1,0,14,0,14.00,0,0,1,0,1,scorecard
Bhuvneshwar Kumar,4,0,22,1,5.50,17,1,1,3,0,scorecard
Arshdeep Singh,4,0,32,3,8.00,10,3,1,1,0,scorecard
Mohammed Shami,4,0,25,1,6.25,14,4,0,1,0,scorecard
Hardik Pandya,4,0,30,3,7.50,10,4,0,0,0,scorecard
Ravichandran Ashwin,3,0,23,0,7.66,5,0,1,1,0,scorecard
Axar Patel,1,0,21,0,21.00,2,0,3,0,0,scorecard
Shaheen Shah Afridi,4,0,34,0,8.50,7,4,0,1,0,scorecard
Naseem Shah,4,0,23,1,5.75,10,1,0,0,0,scorecard
Haris Rauf,4,0,36,2,9.00,11,2,2,1,0,scorecard
Shadab Khan,4,0,21,0,5.25,10,2,0,0,0,scorecard
Mohammad Nawaz,4,0,42,2,10.50,8,0,4,2,1,scorecard
Binura Fernando,4,0,27,1,6.75,10,3,0,1,0,scorecard
Lahiru Kumara,2,0,12,1,6.00,6,2,0,0,0,scorecard
Maheesh Theekshana,4,0,19,2,4.75,8,1,0,0,0,scorecard
Chamika Karunaratne,4,0,29,1,7.25,7,2,1,0,0,scorecard
Wanindu Hasaranga,4,0,25,2,6.25,6,0,1,0,0,scorecard
Dhananjaya de Silva,2,0,13,1,6.50,3,1,0,0,0,scorecard
Josh Little,4,0,45,0,11.25,5,4,1,1,0,scorecard
Mark Adair,2,0,16,0,8.00,2,1,0,0,0,scorecard
Barry McCarthy,2,0,16,0,8.00,4,0,1,0,0,scorecard
Gareth Delany,4,0,28,1,7.00,8,3,0,2,0,scorecard
Curtis Campher,1,0,8,0,8.00,2,1,0,0,0,scorecard
